Pizza nr. ;Name;Ingredients;Price
1;Vesuvio;Tomatsauce, ost, oregano, skinke ;57
2;Amerikaner;Tomatsauce, ost, oregano, oksefars ;53
3;Cacciatore;Tomatsauce, ost, oregano, pepperoni;57
4;Carbona;Tomatsauce, ost, oregano, kødsauce, spaghetti, cocktailpølser;63
5;Dennis;Tomatsauce, ost, oregano, pepperoni, cocktailpølser;65
6;Bertil;Tomatsauce, ost, oregano, bacon;57
7;Silvia;Tomatsauce, ost, oregano, pepperoni, rød peber, løg, oliven;61
8;Victoria;Tomatsauce, ost, oregano, ananas, champignon, skinke, løg;61
9;Toronfo;Tomatsauce, ost, oregano, skinke, champignon;61
10;Capricciosa;Tomatsauce, ost, oregano, skinke, champignon;61
11;Hawai;Tomatsauce, ost, oregano, skinke, ananas;61
12;Le Blissola;Tomatsauce, ost, oregano, skinke, ananas;61
13;Venezia;Tomatsauce, ost, oregano, bacon, skinke;61
14;Mafia;Tomatsauce, ost, oregano, pepperoni, bacon, løg;61
